exp,QSP/init_value/Parameter/k_C1_growth,QSP/init_value/Parameter/k_C1_death,QSP/init_value/Parameter/initial_tumour_diameter,QSP/init_value/Parameter/k_Treg,QSP/init_value/Parameter/n_T1_clones,QSP/init_value/Parameter/n_T2_clones,QSP/init_value/Parameter/n_T3_clones,QSP/init_value/Parameter/n_T4_clones,QSP/init_value/Parameter/n_T5_clones,QSP/init_value/Parameter/n_T6_clones,QSP/init_value/Parameter/n_T7_clones,QSP/init_value/Parameter/n_T8_clones,QSP/init_value/Parameter/n_T9_clones,QSP/init_value/Parameter/n_T10_clones,QSP/init_value/Parameter/n_T11_clones,QSP/init_value/Parameter/n_T12_clones,QSP/init_value/Parameter/n_T13_clones,QSP/init_value/Parameter/n_T14_clones,QSP/init_value/Parameter/n_T15_clones,QSP/init_value/Parameter/n_T16_clones,QSP/init_value/Parameter/n_T17_clones,QSP/init_value/Parameter/k_P1_d1,QSP/init_value/Parameter/k_P2_d1,QSP/init_value/Parameter/k_P3_d1,QSP/init_value/Parameter/k_P4_d1,QSP/init_value/Parameter/k_P5_d1,QSP/init_value/Parameter/k_P6_d1,QSP/init_value/Parameter/k_P7_d1,QSP/init_value/Parameter/k_P8_d1,QSP/init_value/Parameter/k_P9_d1,QSP/init_value/Parameter/k_P10_d1,QSP/init_value/Parameter/k_P11_d1,QSP/init_value/Parameter/k_P12_d1,QSP/init_value/Parameter/k_P13_d1,QSP/init_value/Parameter/k_P14_d1,QSP/init_value/Parameter/k_P15_d1,QSP/init_value/Parameter/k_P16_d1,QSP/init_value/Parameter/k_P17_d1,QSP/init_value/Parameter/C1_PDL1_total,QSP/init_value/Parameter/C1_PDL2_total,QSP/init_value/Parameter/Treg_CTLA4_50,QSP/init_value/Parameter/k_CTLA4_ADCC,QSP/init_value/Parameter/IC50_ENT_C,QSP/init_value/Parameter/k_sec_CCL2,QSP/init_value/Parameter/k_sec_NO,QSP/init_value/Parameter/k_sec_ArgI,QSP/init_value/Parameter/IC50_ENT_NO,QSP/init_value/Parameter/ki_Treg,QSP/init_value/Parameter/IC50_ArgI_CTL,QSP/init_value/Parameter/IC50_NO_CTL,QSP/init_value/Parameter/k_a1_ENT,QSP/init_value/Parameter/k_a2_ENT,QSP/init_value/Parameter/k_cln_ENT,QSP/init_value/Parameter/q_T_ENT,QSP/init_value/Parameter/k_cl_ENT
1,0.0284213,6.0469e-05,0.641989,0.365366,8.95858,8.95858,8.95858,8.95858,8.95858,8.95858,8.95858,8.95858,8.95858,8.95858,8.95858,8.95858,8.95858,8.95858,8.95858,8.95858,8.95858,1.48393e-07,6.14297e-09,5.96303e-08,1.52319e-08,1.34051e-08,1.47409e-07,3.46906e-07,3.15769e-08,1.64305e-07,4.49601e-08,9.85993e-08,2.11671e-07,1.35158e-09,8.69632e-08,2.04495e-07,7.20451e-09,1.08808e-07,159466,38810.2,154.46,0.927332,6.30688e-09,1.2089e-10,4.97999e-07,0.012457,1.78284e-10,0.330618,299.721,1.83471e-10,1.92717,3.61998,9.89638e-05,3220.31,1.01982
2,0.0123417,0.000435327,0.816724,0.458668,33.3096,33.3096,33.3096,33.3096,33.3096,33.3096,33.3096,33.3096,33.3096,33.3096,33.3096,33.3096,33.3096,33.3096,33.3096,33.3096,33.3096,2.47954e-09,2.23098e-07,1.43541e-09,3.02636e-09,4.25011e-08,7.1427e-08,5.03607e-07,4.39726e-09,4.10059e-08,5.41927e-08,5.24854e-08,2.62562e-09,2.5757e-08,1.09577e-08,2.22951e-07,4.52707e-08,4.15428e-09,49517.2,7996.89,507.842,0.179926,1.95438e-07,1.56287e-10,4.17375e-07,0.0139323,5.88659e-11,1.88984,20.431,6.29506e-09,2.13907,2.78564,0.000109902,3346.71,0.270201
3,0.0311534,5.12184e-05,0.777386,0.1521,10.4149,10.4149,10.4149,10.4149,10.4149,10.4149,10.4149,10.4149,10.4149,10.4149,10.4149,10.4149,10.4149,10.4149,10.4149,10.4149,10.4149,8.03058e-08,7.82157e-08,2.17002e-08,4.60689e-09,2.08355e-08,2.05278e-08,2.54661e-08,2.87525e-09,3.27722e-09,1.18936e-08,2.0893e-07,1.49787e-08,1.37514e-08,2.10826e-08,3.49672e-07,3.01868e-08,1.61367e-08,110902,20075.1,144.259,0.24928,2.00877e-08,1.61195e-10,4.49776e-07,0.0157415,6.33049e-10,1.18528,24.4222,4.1329e-09,2.13015,6.93116,0.000106328,3214.04,0.658627
4,0.017546,0.000250931,0.734578,0.182606,12.8183,12.8183,12.8183,12.8183,12.8183,12.8183,12.8183,12.8183,12.8183,12.8183,12.8183,12.8183,12.8183,12.8183,12.8183,12.8183,12.8183,3.1715e-09,4.8713e-09,2.01154e-07,1.24417e-08,1.76302e-07,2.31642e-09,2.41901e-09,4.04756e-08,7.39991e-08,2.00538e-09,4.5686e-07,7.09402e-08,4.60441e-09,1.50895e-07,3.38697e-08,1.62899e-08,4.38441e-08,138151,5489.32,207.155,0.271473,2.2867e-07,1.95106e-10,3.97608e-07,0.0130322,1.15567e-09,0.701812,46.0956,6.86721e-09,2.00076,7.41315,0.000111053,3294.09,0.339416
5,0.0335551,0.000125023,0.597235,0.282956,51.6104,51.6104,51.6104,51.6104,51.6104,51.6104,51.6104,51.6104,51.6104,51.6104,51.6104,51.6104,51.6104,51.6104,51.6104,51.6104,51.6104,1.1347e-07,3.59427e-08,1.41523e-08,6.07387e-09,3.00317e-09,1.08567e-07,2.21829e-08,2.25721e-07,5.51059e-08,1.25568e-07,1.41707e-07,1.76902e-08,1.08581e-08,2.78987e-09,7.60994e-09,2.48468e-09,5.27566e-09,89015.9,21857.6,229.143,0.522492,3.66943e-09,1.01145e-10,4.71206e-07,0.0132848,9.9253e-11,0.526587,257.331,1.06227e-09,2.22539,4.98401,7.65311e-05,3309.58,0.310499
6,0.0376589,0.000169174,0.878587,0.634965,11.041,11.041,11.041,11.041,11.041,11.041,11.041,11.041,11.041,11.041,11.041,11.041,11.041,11.041,11.041,11.041,11.041,7.30312e-09,1.42552e-07,6.84877e-08,1.01042e-07,3.40664e-07,2.49078e-08,1.67106e-08,5.8012e-08,2.83658e-07,3.50325e-09,3.96901e-07,5.42504e-08,1.95186e-08,8.68829e-09,1.75068e-09,4.05021e-08,1.56694e-09,263771,28825.9,266.03,0.228949,6.6346e-08,1.58712e-10,5.50719e-07,0.0122114,1.59042e-10,1.59828,151.48,1.56924e-10,2.09205,5.90494,9.72612e-05,3366.11,0.378977
7,0.0585323,8.89024e-05,0.564753,0.570062,11.4767,11.4767,11.4767,11.4767,11.4767,11.4767,11.4767,11.4767,11.4767,11.4767,11.4767,11.4767,11.4767,11.4767,11.4767,11.4767,11.4767,2.89493e-08,4.91791e-07,2.55089e-08,3.24379e-07,2.95972e-08,4.41567e-07,4.25518e-08,1.29724e-08,3.22308e-08,1.01769e-08,1.49742e-09,5.82904e-08,4.19797e-08,4.85782e-07,3.40698e-07,4.77651e-07,9.754e-08,717453,1056.52,330.4,0.112732,1.4283e-08,1.75378e-10,4.9185e-07,0.0140832,7.67632e-11,0.437338,8.55209,8.30698e-10,2.04172,6.82825,0.000104575,3260.5,0.743671
8,0.0223898,9.46567e-05,0.859708,0.422208,13.9411,13.9411,13.9411,13.9411,13.9411,13.9411,13.9411,13.9411,13.9411,13.9411,13.9411,13.9411,13.9411,13.9411,13.9411,13.9411,13.9411,1.30287e-08,1.03724e-07,3.41436e-08,3.65514e-09,4.46863e-07,1.24287e-07,2.25315e-07,8.11715e-08,1.04502e-07,3.26151e-09,2.83511e-08,2.27215e-07,3.33593e-09,2.02099e-09,1.59614e-07,3.91767e-09,3.33048e-07,279032,3606.96,104.351,0.482904,3.22319e-08,1.4586e-10,5.63107e-07,0.0159432,3.3704e-10,0.81754,209.448,8.23376e-11,2.09018,6.03362,6.15753e-05,3400.19,0.901634
9,0.0136494,0.000833464,0.787908,0.245793,6.67483,6.67483,6.67483,6.67483,6.67483,6.67483,6.67483,6.67483,6.67483,6.67483,6.67483,6.67483,6.67483,6.67483,6.67483,6.67483,6.67483,4.20175e-07,9.88577e-09,2.30949e-07,1.30384e-07,6.62608e-08,9.92518e-09,5.05793e-09,1.19209e-08,1.84413e-09,1.50411e-08,3.51989e-08,6.11925e-09,1.58634e-08,7.68326e-08,6.20846e-09,1.47878e-07,2.42628e-09,919153,5089.83,217.451,0.439772,5.26566e-09,1.36732e-10,4.86932e-07,0.013522,1.69953e-09,0.542133,9.41445,1.15574e-10,2.05894,3.41602,7.60279e-05,3240.42,0.69401
10,0.0292181,1.37331e-05,0.765114,0.912884,11.5471,11.5471,11.5471,11.5471,11.5471,11.5471,11.5471,11.5471,11.5471,11.5471,11.5471,11.5471,11.5471,11.5471,11.5471,11.5471,11.5471,3.24133e-07,4.20058e-09,5.70157e-08,7.69769e-08,1.61691e-08,1.77703e-07,1.8658e-09,9.63879e-09,2.19239e-08,2.29804e-08,1.05716e-08,1.10251e-08,4.02846e-07,3.4777e-08,2.89855e-07,2.99353e-09,7.69282e-09,1.1329e+06,1783.22,281.056,0.548186,1.53909e-07,8.50576e-11,5.37178e-07,0.0120205,5.0161e-09,1.77414,10.5562,6.77722e-10,2.20573,4.79709,0.000114111,3412.22,0.169852
